try,second
1,0.0073964
2,0.0089261
3,0.0069593
4,0.0086254
5,0.0071657
6,0.007973
7,0.0084404
8,0.0104399
9,0.0076836
10,0.0067319
11,0.00681
12,0.0069223
13,0.0067425
14,0.0069558
15,0.0071422
16,0.0068856
17,0.0132329
18,0.01302
19,0.0107582
20,0.0099774
21,0.0075186
22,0.0067651
23,0.0067991
24,0.006805
25,0.0069077
26,0.0072198
27,0.0067475
28,0.0076582
29,0.0070402
30,0.0069988
31,0.0094569
32,0.0097618
33,0.0122635
34,0.0122706
35,0.0123469
36,0.0094859
37,0.0068245
38,0.0068618
39,0.0066983
40,0.0069844
41,0.0121606
42,0.0070234
43,0.0068814
44,0.0070543
45,0.0067994
46,0.0070742
47,0.0125687
48,0.0126465
49,0.009266
50,0.0070444
51,0.0068509
52,0.0072931
53,0.0067348
54,0.0073135
55,0.0068464
56,0.0078073
57,0.0078105
58,0.009941
59,0.0073295
60,0.0128367
61,0.0125141
62,0.0090469
63,0.0090926
64,0.0106473
65,0.0107285
66,0.008528
67,0.0072331
68,0.0076913
69,0.0071847
70,0.0073199
71,0.0073817
72,0.0131554
73,0.0075878
74,0.007566
75,0.006821
76,0.0079624
77,0.0075969
78,0.0126339
79,0.0097473
80,0.0103669
81,0.0133577
82,0.0083059
83,0.0073477
84,0.0069816
85,0.0096521
86,0.0094142
87,0.00812
88,0.007151
89,0.008643
90,0.0074481
91,0.0090331
92,0.0074957
93,0.0080141
94,0.008614
95,0.0100923
96,0.0101091
97,0.0127541
98,0.011477
99,0.0146734
100,0.0116661
101,0.0129581
102,0.010564
103,0.0081626
104,0.0075547
105,0.0071747
106,0.0105705
107,0.0100738
108,0.0143992
109,0.0107537
110,0.0170781
111,0.020875
112,0.018847
113,0.0135711
114,0.0084836
115,0.0104587
116,0.0079337
117,0.0071201
118,0.0080817
119,0.0072563
120,0.0080891
121,0.0074406
122,0.0074756
123,0.0076669
124,0.0071437
125,0.0080338
126,0.0079787
127,0.0078099
128,0.0071507
129,0.0080765
130,0.0071003
131,0.0079112
132,0.0067937
133,0.0087067
134,0.0070575
135,0.0070779
136,0.0077965
137,0.0071547
138,0.0097714
139,0.0071905
140,0.0074268
141,0.0069739
142,0.0074362
143,0.0070558
144,0.0081551
145,0.0076345
146,0.0116104
147,0.00816
148,0.0089875
149,0.008918
150,0.0094929
151,0.00969
152,0.0087817
153,0.0072687
154,0.0079597
155,0.0073084
156,0.0070222
157,0.0070442
158,0.0103784
159,0.010868
160,0.0076629
161,0.006725
162,0.0067738
163,0.0070756
164,0.0068006
165,0.007159
166,0.0097702
167,0.0078499
168,0.007158
169,0.0099716
170,0.0102584
171,0.0098879
172,0.0098366
173,0.0099384
174,0.0105945
175,0.0080379
176,0.008075
177,0.0068187
178,0.0071881
179,0.0070275
180,0.0068653
181,0.0068779
182,0.0068355
183,0.006815
184,0.0093175
185,0.0067648
186,0.0121007
187,0.012105
188,0.0080189
189,0.0077514
190,0.0109537
191,0.0086633
192,0.0067864
193,0.0068383
194,0.0074438
195,0.0068803
196,0.008025
197,0.0067868
198,0.0177317
199,0.0082157
200,0.0068854
