try,second
1,0.0393499
2,0.0164412
3,0.0121419
4,0.0120549
5,0.0125592
6,0.0132858
7,0.0117558
8,0.0119806
9,0.0136356
10,0.0126518
11,0.0166063
12,0.0119464
13,0.0121508
14,0.0112806
15,0.0112407
16,0.0134077
17,0.01288
18,0.012189
19,0.0139202
20,0.0114732
21,0.0114578
22,0.0116118
23,0.0113457
24,0.0115361
25,0.0115892
26,0.0115176
27,0.0127246
28,0.0122929
29,0.0126925
30,0.0120113
31,0.0116591
32,0.0155665
33,0.0134046
34,0.016654
35,0.0112897
36,0.0113317
37,0.0113059
38,0.0117737
39,0.0116918
40,0.0168247
41,0.0215008
42,0.0133405
43,0.0124473
44,0.0155034
45,0.014447
46,0.0129407
47,0.0123398
48,0.0152981
49,0.0121309
50,0.0131639
51,0.0143349
52,0.0123712
53,0.0119045
54,0.0120352
55,0.012428
56,0.0130542
57,0.0175863
58,0.0226268
59,0.0297027
60,0.0195337
61,0.0123117
62,0.0146354
63,0.011886
64,0.0122557
65,0.0121289
66,0.0122797
67,0.0114209
68,0.0122687
69,0.0123125
70,0.0120611
71,0.0118389
72,0.0123929
73,0.0124657
74,0.0142341
75,0.0135859
76,0.0130819
77,0.0134135
78,0.013076
79,0.0151963
80,0.0116734
81,0.012393
82,0.0124424
83,0.0121977
84,0.0113401
85,0.0123141
86,0.0133953
87,0.0153222
88,0.0114297
89,0.0136084
90,0.0179334
91,0.023606
92,0.0191824
93,0.0121795
94,0.0112998
95,0.0120945
96,0.0127498
97,0.012327
98,0.0128815
99,0.0134998
100,0.011521
101,0.0129234
102,0.0197581
103,0.0131891
104,0.011551
105,0.0113935
106,0.0115692
107,0.0115638
108,0.0124544
109,0.0217695
110,0.0131231
111,0.0114751
112,0.0114203
113,0.0114092
114,0.0116578
115,0.011835
116,0.0250058
117,0.016056
118,0.0123635
119,0.0117878
120,0.0182796
121,0.0134381
122,0.0116047
123,0.0114515
124,0.0145594
125,0.0174377
126,0.0190946
127,0.0118551
128,0.0129919
129,0.0115549
130,0.0114828
131,0.0116016
132,0.0172798
133,0.0290483
134,0.0216966
135,0.01199
136,0.0126263
137,0.0115301
138,0.0114849
139,0.0115259
140,0.0116883
141,0.0115628
142,0.0115377
143,0.0113736
144,0.0156715
145,0.017138
146,0.0115823
147,0.0113638
148,0.0116663
149,0.0116962
150,0.0115506
151,0.0144233
152,0.0199783
153,0.0119669
154,0.0112852
155,0.0113751
156,0.0112976
157,0.0113901
158,0.0113055
159,0.0112962
160,0.0115944
161,0.0114926
